date,sales,marketing_spend,foot_traffic,competitor_price,our_price
2026-01-01,642.7,1018.8,102.5,20.26,22.25
2026-01-02,617.0,974.3,99.3,20.77,21.66
2026-01-03,635.9,967.9,118.2,19.95,22.16
2026-01-04,669.9,1014.5,122.6,20.2,22.43
2026-01-05,662.0,993.3,98.8,20.35,21.26
2026-01-06,634.2,1021.4,98.8,19.8,21.76
2026-01-07,645.0,1014.2,107.9,20.11,22.17
2026-01-08,651.0,997.8,103.8,20.01,21.94
2026-01-09,616.2,974.6,97.7,20.05,22.11
2026-01-10,646.6,954.6,117.7,19.61,21.82
2026-01-11,651.1,986.6,112.7,20.01,22.03
2026-01-12,619.5,1025.7,97.7,20.25,21.95
2026-01-13,628.6,1006.4,101.2,20.73,22.35
2026-01-14,594.0,962.6,90.4,20.48,22.08
2026-01-15,642.0,1005.2,91.4,21.08,22.1
2026-01-16,653.6,1011.6,97.2,19.62,21.88
2026-01-17,659.7,973.5,109.9,20.44,21.85
2026-01-18,690.6,1004.6,116.6,20.09,21.87
2026-01-19,644.6,1001.7,95.5,21.09,22.12
2026-01-20,649.2,965.7,92.9,19.6,21.87
2026-01-21,615.8,1010.7,107.3,19.58,22.09
2026-01-22,622.8,1016.8,98.9,19.7,22.62
2026-01-23,614.7,1032.5,100.3,18.94,22.26
2026-01-24,639.6,1031.6,107.9,19.74,21.9
2026-01-25,642.6,958.7,112.3,19.62,22.36
2026-01-26,605.5,971.9,100.6,20.08,21.88
2026-01-27,636.9,1015.5,94.2,20.17,21.39
2026-01-28,624.3,1015.4,101.9,20.94,21.7
2026-01-29,633.5,1015.5,97.0,20.48,21.44
2026-01-30,621.9,1115.6,98.5,19.71,21.89
2026-01-31,652.2,1017.1,112.0,19.55,22.01
2026-02-01,644.0,1034.1,124.3,20.25,22.5
2026-02-02,613.8,1028.6,99.9,19.34,22.1
2026-02-03,637.5,1019.5,94.7,20.92,21.93
2026-02-04,624.2,990.5,104.1,20.59,22.25
2026-02-05,667.4,1022.8,93.9,19.77,21.34
2026-02-06,656.7,976.8,101.0,19.14,22.07
2026-02-07,649.1,992.9,105.2,20.68,22.23
2026-02-08,634.2,985.4,108.4,19.94,21.56
2026-02-09,624.2,1002.5,101.0,20.62,22.34
2026-02-10,643.6,1069.4,103.7,19.2,22.1
2026-02-11,635.3,944.0,100.9,19.7,21.88
2026-02-12,680.5,1020.6,99.4,20.0,22.19
2026-02-13,601.7,951.6,98.5,20.02,22.68
2026-02-14,653.3,985.8,107.6,19.77,22.05
2026-02-15,637.5,1032.7,111.4,20.31,22.07
2026-02-16,633.7,1001.9,97.7,19.47,21.86
2026-02-17,665.8,967.7,105.3,19.93,21.75
2026-02-18,626.7,978.5,101.7,20.06,22.25
2026-02-19,646.6,1020.4,91.2,20.26,21.74
2026-02-20,643.8,978.1,101.6,20.36,22.02
2026-02-21,645.2,1006.5,113.1,19.44,21.86
2026-02-22,659.5,1001.4,111.6,19.23,22.14
2026-02-23,655.9,980.5,103.1,20.64,22.1
2026-02-24,637.0,1064.3,105.2,20.17,22.31
2026-02-25,605.9,1019.0,104.7,19.63,21.85
2026-02-26,628.0,939.2,95.8,20.78,21.92
2026-02-27,637.0,1005.6,98.5,20.06,21.71
2026-02-28,647.5,980.1,116.7,20.59,21.87
2026-03-01,680.4,1025.6,119.9,20.03,22.11
2026-03-02,629.6,976.2,97.6,21.03,22.23
2026-03-03,628.3,996.6,99.1,20.88,21.72
2026-03-04,629.7,1015.1,94.5,19.88,22.26
2026-03-05,648.5,1026.0,94.0,20.49,22.41
2026-03-06,659.0,964.0,104.1,20.32,22.12
2026-03-07,663.5,990.0,121.8,20.68,22.56
2026-03-08,676.3,985.8,114.6,19.52,21.77
2026-03-09,658.5,980.4,105.0,20.34,21.63
2026-03-10,659.7,1053.0,101.8,20.53,21.47
2026-03-11,589.1,1012.1,96.8,19.12,22.45
2026-03-12,643.4,962.2,101.8,19.41,22.2
2026-03-13,657.5,1027.5,107.7,18.98,21.98
2026-03-14,641.7,1063.7,114.8,19.87,22.08
2026-03-15,639.2,1031.0,122.8,20.36,21.66
2026-03-16,568.2,954.4,86.9,20.75,22.73
2026-03-17,650.9,985.5,104.1,20.04,22.04
2026-03-18,641.7,1038.0,100.4,20.81,22.03
2026-03-19,651.0,978.8,98.5,19.31,22.22
2026-03-20,633.7,1013.3,100.5,19.15,22.14
2026-03-21,655.1,1023.2,105.1,19.97,22.07
2026-03-22,655.2,972.2,113.9,20.19,21.76
2026-03-23,610.4,998.2,101.8,19.98,22.14
2026-03-24,628.8,902.8,107.4,18.97,22.56
2026-03-25,618.6,969.3,97.4,19.96,22.4
2026-03-26,613.4,992.4,96.0,19.35,22.48
2026-03-27,608.6,962.6,97.5,20.33,21.85
2026-03-28,667.8,1049.0,119.6,20.18,21.7
2026-03-29,633.6,957.1,116.6,19.53,21.96
2026-03-30,654.7,986.8,97.4,19.74,22.02
2026-03-31,621.2,1003.9,102.6,19.47,22.33
2026-04-01,634.6,1043.2,100.5,19.97,21.49
2026-04-02,618.2,956.9,104.8,20.48,22.46
2026-04-03,644.6,1034.9,96.5,19.51,21.95
2026-04-04,654.7,1000.3,113.4,20.25,21.87
2026-04-05,677.7,970.6,113.0,19.73,21.7
2026-04-06,603.7,1013.9,92.7,19.6,21.5
2026-04-07,640.2,1006.0,101.5,19.95,22.25
2026-04-08,642.8,982.0,101.3,19.48,22.02
2026-04-09,635.2,1002.1,100.0,19.72,21.61
2026-04-10,654.0,988.4,98.8,19.4,21.61
2026-04-11,628.4,1003.4,107.9,20.98,21.9
2026-04-12,657.6,1019.9,112.9,20.02,22.5
2026-04-13,659.4,1047.6,98.3,19.65,21.92
2026-04-14,647.7,962.9,96.0,20.11,21.55
2026-04-15,631.2,1064.0,99.2,19.94,21.93
2026-04-16,650.5,941.4,102.0,19.89,21.92
2026-04-17,685.3,995.4,109.4,20.31,21.19
2026-04-18,645.4,1017.6,115.9,20.38,21.98
2026-04-19,646.9,1008.4,116.3,19.73,21.93
2026-04-20,630.2,981.3,99.6,19.71,22.21
2026-04-21,586.8,993.8,80.4,19.86,22.55
2026-04-22,596.5,985.2,89.9,18.85,22.34
2026-04-23,602.7,982.3,90.3,19.24,21.92
2026-04-24,630.0,1025.5,102.3,20.68,21.67
2026-04-25,604.2,1010.7,104.0,20.82,22.77
2026-04-26,630.3,979.2,106.5,19.88,22.02
2026-04-27,658.6,1027.0,89.8,20.29,22.0
2026-04-28,615.4,1009.2,84.2,20.16,21.99
2026-04-29,641.5,1024.4,95.7,21.54,22.06
2026-04-30,630.2,1018.9,93.8,20.56,21.96
2026-05-01,620.7,775.1,94.0,19.94,21.83
2026-05-02,664.5,783.2,100.5,19.52,21.84
2026-05-03,632.9,822.4,112.0,19.2,21.99
2026-05-04,612.0,818.3,83.0,20.1,21.84
2026-05-05,613.2,799.4,92.9,19.62,21.79
2026-05-06,617.7,803.5,101.0,14.29,22.03
2026-05-07,615.5,838.3,85.0,14.68,21.92
2026-05-08,629.6,782.3,87.2,14.46,22.45
2026-05-09,533.4,816.4,105.5,15.84,21.2
2026-05-10,517.0,793.9,102.5,15.44,22.33
2026-05-11,486.6,793.5,82.2,15.0,22.37
2026-05-12,542.1,833.0,90.3,15.74,21.38
2026-05-13,517.1,824.8,84.7,15.04,21.9
2026-05-14,545.8,824.4,92.4,14.57,21.89
2026-05-15,560.7,839.2,85.4,15.76,21.58
2026-05-16,545.7,800.6,112.7,15.27,21.77
2026-05-17,522.1,820.5,101.1,14.48,21.67
2026-05-18,530.9,790.7,88.4,14.9,22.53
2026-05-19,518.9,809.7,94.1,14.56,22.28
2026-05-20,507.7,796.1,83.8,14.31,22.38
2026-05-21,520.9,802.9,91.1,15.46,22.22
2026-05-22,506.2,817.9,96.5,15.95,21.66
2026-05-23,542.7,775.5,97.0,14.3,21.84
2026-05-24,576.9,862.8,105.9,15.28,22.15
2026-05-25,536.6,769.8,91.3,14.67,21.63
2026-05-26,502.6,763.6,93.9,14.76,22.21
2026-05-27,527.0,834.7,83.8,14.7,21.93
2026-05-28,516.4,823.7,83.4,14.57,21.89
2026-05-29,527.7,818.7,92.6,15.02,22.21
2026-05-30,565.1,818.9,106.5,14.58,22.13
2026-05-31,533.0,799.6,106.3,15.14,21.89
2026-06-01,504.9,773.1,91.7,14.97,22.35
2026-06-02,495.7,802.3,86.6,14.88,21.68
2026-06-03,510.5,779.7,91.2,14.55,22.18
2026-06-04,521.1,829.3,91.5,14.71,22.18
2026-06-05,543.9,795.6,86.4,15.38,21.91
2026-06-06,532.3,775.2,114.3,15.25,22.1
2026-06-07,547.3,790.4,107.4,14.51,21.62
2026-06-08,517.0,812.4,84.0,15.05,22.28
2026-06-09,548.4,783.1,93.3,15.38,21.94
2026-06-10,546.8,775.3,85.1,14.17,21.84
2026-06-11,526.4,807.3,103.9,15.27,22.31
2026-06-12,544.5,807.3,105.8,14.67,21.79
2026-06-13,554.6,784.8,110.9,15.29,21.58
2026-06-14,580.6,785.9,119.8,14.62,21.53
2026-06-15,555.3,807.0,102.1,14.1,22.18
2026-06-16,557.6,756.6,104.1,14.19,21.62
2026-06-17,521.5,757.8,109.5,15.02,22.53
2026-06-18,535.3,778.4,98.8,15.13,21.38
2026-06-19,522.0,793.6,96.2,14.55,22.51
2026-06-20,558.7,809.3,110.6,15.32,22.06
2026-06-21,559.8,844.3,110.9,14.17,21.97
2026-06-22,545.6,825.7,99.6,14.97,21.84
2026-06-23,556.9,795.2,101.7,14.39,22.12
2026-06-24,541.6,799.4,101.4,14.67,21.99
2026-06-25,540.6,769.9,104.1,15.02,22.33
2026-06-26,520.0,799.4,100.1,14.57,22.03
2026-06-27,555.8,791.3,122.3,14.81,22.05
2026-06-28,571.4,809.7,113.7,15.5,21.89
2026-06-29,529.4,775.2,113.6,14.71,21.98
